ESPANOL	TRADUCTOR	VOZ
Gato	miston	url
Niño	Pipiltontsin	url
Búho 	Tekolotl	url
armadillo	Ayotochi	url
Blanco	Istak	url
trabajar	tekiti	url
campo	kwahtlan	url
mamá	Nantsin	url
Papá 	Tahtsin	url
Hermana	Welti	url
Hermano	Ikni 	url
Hija 	Ichpoch 	url
Hijo 	Telpoch 	url
Sobrina	Sobrinatsin	url
Sobrino	Sobrinotsin	url
Prima 	Mach	url
Primo	Mach 	url
Tío 	Tlatsin 	url
Tía 	Awi	url
Suegra 	Monantsin	url
Suegro 	Montahtsin	url
Esposa 	Soa	url
Esposo 	Tlawikal 	url
Cuñada 	Chawahtek	url
Cuñado	Chawahtek	url
Madrina 	Teonantsin	url
Padrino 	Teotahtsin	url
Comadre	Komaletsin	url
Compadre 	Kompaletsin	url
Abuela	Sihtsin	url
Abuelo 	Kohkol	url
Abuela	Sihtsin	url
Nieta	Ixwi	url
Nieto	Ixwi	url
Nuera 	Soamon	url
Yerno	Nomon	url
Bebé 	Piltsintli	url
Niña 	Popokatsin 	url
Señorita	Ichpokawa	url
Joven	Telpokawa 	url
Hombre	Tlakatl	url
Mujer	Soa	url
Señor 	Tlakatsintli	url
Señora	Soatsintli	url
Ancianito	Wewetsin	url
Ancianita	Nanatsin	url
Amigo 	Yoloikni	url
Conocido	Tlaixman	url
Novio	No tlasohtsin	url
Novia 	No tlasohtsin	url
Te quiero 	Nimitsneki	url
Te amo 	Nimitstlasohtla	url
Agua	Atl	url
Amatl	Papel	url
Aguacate	Awakatl	url
Hormiga	Askatl	url
Ahora	Axan	url
No	Amo	url
Sí	Kema	url
Burro	Axno	url
Pequeño 	Chochokotsin	url
Grande	Wey	url
Casa	Kali	url
Amargo 	Chichik 	url
Llorar 	Choka 	url
Perro 	Itskwintli	url
Aire 	Ehekatl	url
Remolino 	Ehkamalakotl 	url
Borrego 	Ichkatl	url
Pie 	Ikxi	url
Cejas 	Ixkempal	url
Ratero 	Ichtek 	url
Viejo 	Wewe	url
Mitad 	Tlahko	url
Adentro 	Tlahtek	url
Afuera	Kwentla	url
Camino 	Ohtli	url
Entrar 	Kalaki	url
Voltear 	Kwepa 	url
Falda 	Kweitl 	url
Plato 	Kaxil	url
Dónde	Kanin	url
Vas 	Tía 	
Va 	Tonya	
Enojado 	Kwalantok	
Bonito 	Kwakwaltsin	
Bonita 	Kwakwaltsin	
Naranja 	Lalax	
Marrano 	Lechon	
Ajolote 	Axolotl	
Pez 	Michin	
Ratón 	Kimichin	
Milpa 	Mili 	
Mucho 	Miek 	
Poco 	Kokotsin 	
Orejas 	Nakas 	
Hongo 	Nanakatl 	
